From,To,AvgDelay,Distance
MDW,MIA,58,2015
BOS,MSY,28,4940
ATL,SEA,122,404
MIA,CLE,77,4587
TPA,MSP,78,2483
LAX,PDX,173,1878
ATL,MIA,69,3892
BWI,PHX,144,197
DTW,CLT,178,2818
MCO,LAX,79,1186
DEN,FLL,155,3438
DFW,FLL,89,1020
JFK,BWI,27,1924
SFO,SEA,35,4179
MSP,LAX,75,2976
SEA,SJC,17,4796
DFW,PDX,44,3399
PDX,MSP,8,1970
DEN,CMH,156,2434
CMH,JFK,78,1929
PHX,CVG,131,1305
DFW,CMH,136,1979
DEN,IAH,162,4138
MSY,RDU,146,415
OAK,IAH,44,3767
BOS,MSY,121,2487
MCO,CVG,5,4255
PIT,DEN,150,2765
BWI,JFK,24,2191
SFO,SEA,120,3720
SLC,SMF,114,1217
CMH,CLT,139,2436
HNL,MKE,118,1640
BWI,DTW,82,4995
TPA,RDU,84,4616
SEA,HNL,72,568
CLE,CVG,42,4842
CMH,ATL,159,3106
CLT,SJC,103,229
DCA,SMF,6,4440
RDU,DCA,96,1255
LAS,ATL,57,1983
PHX,DCA,42,2845
BOS,MCO,138,4395
SEA,IND,137,4271
STL,DTW,122,1537
AUS,MCO,178,203
FLL,RDU,61,387
FLL,MCO,129,3848
PIT,PHX,108,4467
IND,MCO,176,2333
DFW,IAH,130,236
HNL,MKE,46,193
SFO,ORD,22,4613
SAN,SLC,65,135
PHX,MSY,139,2520
LAS,IAH,160,3133
DFW,DCA,62,2194
TPA,MSY,99,197
PDX,CLE,78,611
TPA,ORD,158,1873
SLC,CMH,68,3032
CLT,MDW,75,2587
MSP,CVG,41,2436
LAS,DEN,90,3936
BWI,MSY,97,4687
PHX,SJC,21,4549
JFK,SEA,116,3961
PHL,MDW,168,476
SEA,MCO,7,421
MKE,LAX,176,730
ATL,JFK,119,3243
SEA,PIT,107,2711
BWI,SAN,140,1527
SEA,TPA,126,4062
DFW,SJC,52,3572
CMH,CVG,86,4313
FLL,CLE,86,4023
CLE,SLC,115,1023
DFW,STL,171,4322
ORD,CLT,110,2972
PHL,SLC,114,3179
SMF,LAX,36,1729
MKE,DTW,112,1361
AUS,DEN,50,4668
PHX,LAX,59,3091
MIA,STL,171,1443
PHL,IAH,61,2369
FLL,SEA,148,4580
STL,CVG,175,4742
SEA,MSY,172,3465
IND,LAS,18,338
DCA,JFK,142,1055
PHX,SMF,96,676
LAS,ORD,45,2966
RDU,SMF,101,1023
SLC,JFK,81,4741
PHX,DTW,25,1194
CVG,ATL,87,2539
PHX,PIT,80,2816
SMF,OAK,129,568
